year,taxon,n
2016,waterfowl,293
2016,grebes.loons,4
2016,shorebirds,426
2016,gulls.terns,76
2016,hawks.falcons,28
2016,passerines,2740
2017,waterfowl,80
2017,grebes.loons,12
2017,shorebirds,398
2017,gulls.terns,36
2017,hawks.falcons,12
2017,passerines,2251
2018,waterfowl,
2018,grebes.loons,
2018,shorebirds,
2018,gulls.terns,
2018,hawks.falcons,
2018,passerines,
2019,waterfowl,156
2019,grebes.loons,9
2019,shorebirds,311
2019,gulls.terns,58
2019,hawks.falcons,11
2019,passerines,2274
2020,waterfowl,217
2020,grebes.loons,11
2020,shorebirds,404
2020,gulls.terns,64
2020,hawks.falcons,3
2020,passerines,1968
