Species,Status,Survey 1,Survey 2,Survey 1,Survey 2,Survey 1,Survey 2
Canada Goose,Br.,16,9,3,1,18.5,11.1
Trumpeter Swan,Br.,2,6,1,3,3.7,11.1
Northern Shoveler,Br.,12,2,6,1,7.4,3.7
Gadwall,Br.,6,0,3,0,11.1,0.0
American Wigeon,Br.,17,5,7,2,29.6,7.4
Mallard,Br.,15,11,5,4,22.2,14.8
Northern Pintail,Br.,2,0,0,0,3.7,0.0
Green-winged Teal,Br.,18,3,9,1,14.8,7.4
Ring-necked Duck,Br.,75,2,37,1,18.5,3.7
Greater Scaup,Br.,4,0,2,0,3.7,0.0
Lesser Scaup,Br.,4,4,0,0,3.7,3.7
Barrow’s Goldeneye,Br.,2,0,1,0,3.7,0.0
Common Goldeneye,Br.,6,0,3,0,3.7,0.0
Red-necked Grebe,Br.,6,2,3,1,11.1,3.7
Sandhill Crane,Br.,1,0,0,0,3.7,0.0
Least Sandpiper,Br.,0,4,0,0,0.0,3.7
Short-billed Dowitcher,Br.,0,1,0,0,0.0,3.7
Wilson’s Snipe,Br.,158,142,76,65,70.4,77.8
Spotted Sandpiper,Br.,0,1,0,0,0.0,3.7
Solitary Sandpiper,Br.,15,3,7,1,18.5,7.4
Lesser Yellowlegs,Br.,27,36,11,18,37.0,29.6
Greater Yellowlegs,Br.,9,9,4,4,14.8,14.8
Red-necked Phalarope,Br.,2,1,1,0,3.7,3.7
Bonaparte’s Gull,Br.,33,34,12,10,29.6,22.2
Mew Gull,Br.,5,6,1,1,11.1,7.4
Arctic Tern,Br.,2,6,1,1,3.7,7.4
Common Loon,Br.,3,0,1,0,7.4,0.0
Bald Eagle,Res.,2,0,0,0,7.4,0.0
Northern Goshawk,Br.,1,0,0,0,3.7,0.0
Downy Woodpecker,Res.,2,0,0,0,7.4,0.0
Hairy Woodpecker,Res.,2,4,0,2,7.4,7.4
American Three-toed Woodpecker,Res.,2,2,1,1,3.7,3.7
Olive-sided Flycatcher,Br.,10,18,5,9,18.5,29.6
Western Wood-Pewee,Br.,4,16,2,8,7.4,14.8
Alder Flycatcher,Br.,0,1,0,0,0.0,3.7
Canada Jay,Res.,11,23,3,4,25.9,33.3
Tree Swallow,Br.,26,21,6,5,37.0,33.3
Violet-green Swallow,Br.,2,0,1,0,3.7,0.0
Black-capped Chickadee,Res.,6,0,3,0,11.1,0.0
Boreal Chickadee,Res.,27,13,9,2,40.7,33.3
Red-breasted Nuthatch,Res.,4,0,2,0,7.4,0.0
Brown Creeper,Res.,2,0,1,0,3.7,0.0
Golden-crowned Kinglet,Br.,41,11,19,4,37.0,14.8
Ruby-crowned Kinglet,Br.,128,80,0,39,59.3,51.9
Swainson’s Thrush,Br.,5,46,2,17,7.4,44.4
Hermit Thrush,Br.,12,5,6,2,3.7,7.4
American Robin,Br.,102,59,43,20,66.7,48.1
Varied Thrush,Br.,32,14,16,6,18.5,14.8
White-winged Crossbill,Res.,4,10,0,1,7.4,7.4
Common Redpoll,Res.,24,4,2,0,18.5,7.4
Savannah Sparrow,Br.,22,24,11,12,18.5,25.9
Fox Sparrow,Br.,2,0,1,0,3.7,0.0
Lincoln’s Sparrow,Br.,199,164,92,79,100.0,81.5
White-crowned Sparrow,Br.,15,16,7,8,22.2,18.5
Dark-eyed Junco,Br.,140,84,66,39,51.9,51.9
Rusty Blackbird,Br.,31,16,14,7,44.4,29.6
Northern Waterthrush,Br.,30,44,15,22,29.6,29.6
Orange-crowned Warbler,Br.,50,56,25,28,37.0,44.4
Yellow Warbler,Br.,0,12,0,6,0.0,3.7
Blackpoll Warbler,Br.,0,2,0,1,0.0,3.7
Yellow-rumped Warbler,Br.,179,96,88,48,70.4,63.0
Wilson’s Warbler,Br.,20,10,10,5,29.6,14.8
